College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,82.5401330,41293
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,82.1650299,42935
1002,"Government College of Engineering, Amravati",Civil Engineering,LOPENS,91.7656790,20303
1002,"Government College of Engineering, Amravati",Civil Engineering,TFWS,81.2344165,44323
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFROBCS,20.3198986,129672
1002,"Government College of Engineering, Amravati",Civil Engineering,LSTS,70.6180504,66083
1002,"Government College of Engineering, Amravati",Civil Engineering,ORPHAN,81.0090469,45169
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.8185350,5640
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GVJS,90.6234798,23177
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,95.7719768,10798
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,97.2746725,7015
1002,"Government College of Engineering, Amravati",Information Technology,GSCS,93.1024197,17291
1002,"Government College of Engineering, Amravati",Information Technology,GNT3S,89.4065093,25898
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSCS,81.4853713,43807
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOPENS,90.4938272,23573
1002,"Government College of Engineering, Amravati",Electrical Engineering,LSTS,7.5516424,139232
1002,"Government College of Engineering, Amravati",Electrical Engineering,LNT3S,39.9066862,110694
1002,"Government College of Engineering, Amravati",Electrical Engineering,TFWS,88.9154021,27067
1002,"Government College of Engineering, Amravati",Electrical Engineering,EWS,83.3890161,39749
1002,"Government College of Engineering, Amravati",Electrical Engineering,PWDOPENS,93.5213570,16325
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,94.8416105,13135
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSCS,88.6736154,27738
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSTS,58.1195238,87083
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOPENS,96.6904656,8514
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSCS,85.6187666,34655
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,TFWS,92.6748971,18211
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,81.0352521,44818
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GSCS,62.3996115,80268
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GNT2S,42.5530244,108041
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOBCS,79.8081214,47316
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LOPENS,83.3890161,39830
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,LNT1S,65.1075350,75730
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,TFWS,66.4309764,73462
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOPENS,88.4658665,28185
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSCS,85.1782223,35874
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LOPENS,76.2843676,55053
1002,"Government College of Engineering, Amravati",Mechanical Engineering,TFWS,83.3483950,40144
1002,"Government College of Engineering, Amravati",Mechanical Engineering,EWS,81.2344165,44372
1002,"Government College of Engineering, Amravati",Mechanical Engineering,DEFOPENS,84.9532361,36389
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSTS,84.4494892,37389
1002,"Government College of Engineering, Amravati",Mechanical Engineering,ORPHAN,83.4053417,39568
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOPENH,56.7366842,88784
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOBCH,29.4111028,121366
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOPENH,83.2373857,40550
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,PWDOPENH,56.9822530,88083
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSTH,15.9315290,133050
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GVJH,26.0127532,124705
