College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,90.4057549,28591
1002,"Government College of Engineering, Amravati",Civil Engineering,GSCS,84.5242070,45021
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,87.9526086,35751
1002,"Government College of Engineering, Amravati",Civil Engineering,GSEBCS,63.0701676,97487
1002,"Government College of Engineering, Amravati",Civil Engineering,LSTS,34.5790896,145122
1002,"Government College of Engineering, Amravati",Civil Engineering,LVJS,76.5404634,66354
1002,"Government College of Engineering, Amravati",Civil Engineering,LNT2S,73.8893284,72774
1002,"Government College of Engineering, Amravati",Civil Engineering,LSEBCS,36.0381755,142686
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOPENS,14.0490445,168151
1002,"Government College of Engineering, Amravati",Civil Engineering,EWS,72.6095528,76123
1002,"Government College of Engineering, Amravati",Civil Engineering,ORPHAN,86.7801974,38929
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.4656463,7574
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOBCS,97.3461799,7985
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSEBCS,93.9913601,18083
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LOBCS,98.5704193,4153
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSEBCS,92.9711565,21066
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,TFWS,97.0497898,8899
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,96.7175957,9997
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,96.2149264,11402
1002,"Government College of Engineering, Amravati",Information Technology,GSCS,92.5251996,22571
1002,"Government College of Engineering, Amravati",Information Technology,GSTS,75.5247196,68813
1002,"Government College of Engineering, Amravati",Information Technology,GVJS,89.9513776,29808
1002,"Government College of Engineering, Amravati",Information Technology,GNT1S,94.0242686,18006
1002,"Government College of Engineering, Amravati",Information Technology,GNT2S,93.0771189,20717
1002,"Government College of Engineering, Amravati",Information Technology,GNT3S,93.0349499,20901
1002,"Government College of Engineering, Amravati",Information Technology,GOBCS,96.0392321,11969
1002,"Government College of Engineering, Amravati",Information Technology,GSEBCS,93.0349499,20946
1002,"Government College of Engineering, Amravati",Information Technology,LOPENS,96.7545639,9840
1002,"Government College of Engineering, Amravati",Information Technology,LSCS,93.9014758,18358
1002,"Government College of Engineering, Amravati",Information Technology,LSEBCS,92.7108008,21791
1002,"Government College of Engineering, Amravati",Information Technology,TFWS,96.5185052,10537
1002,"Government College of Engineering, Amravati",Information Technology,DEFROBCS,80.5358903,56268
1002,"Government College of Engineering, Amravati",Information Technology,ORPHAN,82.7820291,49714
1002,"Government College of Engineering, Amravati",Information Technology,EWS,94.8243232,15584
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOPENS,91.6557848,24894
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSCS,85.3426422,42773
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSTS,44.5064233,130114
1002,"Government College of Engineering, Amravati",Electrical Engineering,GNT2S,82.0158422,51838
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOBCS,89.8015148,30280
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSEBCS,81.4941569,53410
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOPENS,92.0214155,23851
1002,"Government College of Engineering, Amravati",Electrical Engineering,LSTS,63.0759599,96994
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFOPENS,50.6340761,120726
1002,"Government College of Engineering, Amravati",Electrical Engineering,TFWS,89.8747850,30141
1002,"Government College of Engineering, Amravati",Electrical Engineering,EWS,82.1878954,51441
1002,"Government College of Engineering, Amravati",Electrical Engineering,PWDOBCS,89.8747850,30158
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,93.9575282,18245
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSTS,60.1504384,103747
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GVJS,86.5601955,39464
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GNT2S,90.1648893,29183
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GNT3S,92.4262209,22839
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOBCS,93.6811474,19046
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSEBCS,88.4426131,34256
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOPENS,94.8950322,15342
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSCS,92.2801912,23243
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSTS,59.9791975,104641
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LVJS,81.7098306,52977
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LNT2S,85.0743746,43687
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LOBCS,93.8694333,18547
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,LSEBCS,90.4876606,28247
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,PWDOBCS,27.5123271,153875
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFOPENS,77.7634641,63680
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFOBCS,62.8733646,97953
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,TFWS,93.8492553,18608
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFROBCS,63.0759599,97115
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,ORPHAN,78.1973837,61999
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,91.0655077,26662
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,85.5352459,41902
