College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,81.0090469,45068
1002,"Government College of Engineering, Amravati",Civil Engineering,GSTS,72.6119403,62198
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT2S,75.8673530,56019
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT3S,69.6924231,67376
1002,"Government College of Engineering, Amravati",Civil Engineering,GOBCS,79.8081214,47176
1002,"Government College of Engineering, Amravati",Civil Engineering,LOPENS,83.8780770,38817
1002,"Government College of Engineering, Amravati",Civil Engineering,LSTS,68.3823818,70583
1002,"Government College of Engineering, Amravati",Civil Engineering,LVJS,82.2515860,42139
1002,"Government College of Engineering, Amravati",Civil Engineering,LNT2S,69.6924231,67267
1002,"Government College of Engineering, Amravati",Civil Engineering,LOBCS,83.0041152,40903
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDOPENS,17.5985227,132109
1002,"Government College of Engineering, Amravati",Civil Engineering,DEFOPENS,76.0463981,55489
1002,"Government College of Engineering, Amravati",Civil Engineering,TFWS,84.9532361,36423
1002,"Government College of Engineering, Amravati",Civil Engineering,PWDROBC S,4.9294633,140685
1002,"Government College of Engineering, Amravati",Civil Engineering,EWS,81.2345291,44019
1002,"Government College of Engineering, Amravati",Civil Engineering,ORPHAN,79.5863208,48315
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.3887196,6729
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSCS,93.8067312,15657
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GSTS,85.9219677,34266
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GNT3S,93.2108027,16999
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOBCS,97.3291438,6987
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LOPENS,98.2315536,4564
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,LSTS,76.7173434,54440
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,TFWS,96.7339025,8433
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,96.0680883,10039
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,ORPHAN,97.2654813,7092
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,95.8828395,10554
1002,"Government College of Engineering, Amravati",Information Technology,GSCS,92.6711629,18304
1002,"Government College of Engineering, Amravati",Information Technology,GSTS,81.1192722,44560
1002,"Government College of Engineering, Amravati",Information Technology,GVJS,91.7514817,20344
1002,"Government College of Engineering, Amravati",Information Technology,GNT2S,95.6910814,11000
1002,"Government College of Engineering, Amravati",Information Technology,GNT3S,90.1789743,24223
1002,"Government College of Engineering, Amravati",Information Technology,GOBCS,95.3975994,11739
1002,"Government College of Engineering, Amravati",Information Technology,LOPENS,97.0482604,7642
1002,"Government College of Engineering, Amravati",Information Technology,LSCS,91.7514817,20360
1002,"Government College of Engineering, Amravati",Information Technology,TFWS,95.4923430,11559
1002,"Government College of Engineering, Amravati",Information Technology,DEFROBCS,89.3951296,26155
1002,"Government College of Engineering, Amravati",Information Technology,EWS,95.0827713,12547
1002,"Government College of Engineering, Amravati",Information Technology,ORPHAN,95.6542890,11206
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOPENS,88.4658665,28186
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSCS,80.0408747,46913
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSTS,53.6496624,93403
1002,"Government College of Engineering, Amravati",Electrical Engineering,GVJS,79.5208170,48417
1002,"Government College of Engineering, Amravati",Electrical Engineering,GNT2S,81.1192722,44580
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOBCS,85.1907088,35670
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOPENS,89.8061335,25067
