College Code,College Name,Branch,Category,Percentile,Rank
1002,"Government College of Engineering, Amravati",Civil Engineering,GOPENS,90.6688280,31618
1002,"Government College of Engineering, Amravati",Civil Engineering,GSCS,84.0359888,53254
1002,"Government College of Engineering, Amravati",Civil Engineering,GNT1S,85.1919561,49466
1002,"Government College of Engineering, Amravati",Civil Engineering,GSEBCS,77.1618860,73539
1002,"Government College of Engineering, Amravati",Civil Engineering,LSCS,87.9159305,41066
1002,"Government College of Engineering, Amravati",Civil Engineering,LSEBCS,70.6189283,91727
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOPENS,97.1220006,10017
1002,"Government College of Engineering, Amravati",Computer Science and Engineering,GOBCS,96.7783105,11290
1002,"Government College of Engineering, Amravati",Information Technology,GOPENS,96.0780932,13634
1002,"Government College of Engineering, Amravati",Information Technology,GVJS,92.3341523,26351
1002,"Government College of Engineering, Amravati",Information Technology,GNT2S,93.1055879,23636
1002,"Government College of Engineering, Amravati",Information Technology,GOBCS,95.7536628,14798
1002,"Government College of Engineering, Amravati",Information Technology,LOPENS,96.3424067,12774
1002,"Government College of Engineering, Amravati",Information Technology,LOBCS,95.6472486,15087
1002,"Government College of Engineering, Amravati",Information Technology,TFWS,95.8681150,14372
1002,"Government College of Engineering, Amravati",Information Technology,EWS,94.7364547,18334
1002,"Government College of Engineering, Amravati",Electrical Engineering,GOPENS,92.0769231,27004
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSCS,91.4450061,29152
1002,"Government College of Engineering, Amravati",Electrical Engineering,GSEBCS,85.0571556,50107
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOPENS,92.8376317,24597
1002,"Government College of Engineering, Amravati",Electrical Engineering,LOBCS,92.1231015,26902
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFOPENS,80.3531469,64751
1002,"Government College of Engineering, Amravati",Electrical Engineering,DEFROBCS,26.7336064,174647
1002,"Government College of Engineering, Amravati",Electrical Engineering,EWS,78.2722320,71160
1002,"Government College of Engineering, Amravati",Electrical Engineering,ORPHAN,92.0737359,27160
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOPENS,95.9185080,14271
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSTS,80.0000000,65065
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GOBCS,95.1095384,16933
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,GSEBCS,90.1729075,33196
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,TFWS,95.4261304,15807
1002,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,DEFRSEBC S,68.9620341,96522
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOPENS,89.2945239,36139
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GVJS,77.5384615,72602
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,GOBCS,87.6322867,41730
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,TFWS,87.1376478,43334
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,EWS,65.6307130,104736
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,DEFOPENS,87.6322867,41794
1002,"Government College of Engineering, Amravati",Instrumentation Engineering,PWDOPENS,88.3176594,39414
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOPENS,92.2706158,26387
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GSTS,73.1347962,85674
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT1S,89.6391842,35310
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GNT3S,85.0571556,49949
1002,"Government College of Engineering, Amravati",Mechanical Engineering,GOBCS,90.4110066,32705
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LOPENS,91.6995640,28486
1002,"Government College of Engineering, Amravati",Mechanical Engineering,LNT2S,78.4242636,70691
1002,"Government College of Engineering, Amravati",Mechanical Engineering,TFWS,89.1476381,36832
1002,"Government College of Engineering, Amravati",Mechanical Engineering,EWS,74.0630785,81885
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOBCH,82.4696038,61965
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,LOBCH,84.3005134,56460
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GOPENO,91.7720943,30155
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSCO,90.0233934,36428
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GNT1O,70.9247292,97708
1005,"Sant Gadge Baba Amravati University,Amravati",Food Technology,GSEBCO,70.0246042,100151
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GSCH,4.7274462,200043
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GOBCH,51.5716400,134585
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GVJH,43.0314730,150631
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,GSEBCH,7.9877752,196887
1005,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,LNT2H,39.2328654,157446
